IP-calls,nodes explored,filename,strategy_subproblem_selection,strategy_node_priority,strategy_reduction,strategy_update_node_priority,strategy_refine_with_integer_gap,strategy_search_method,strategy_refine_method,time_total,subproblem_points,reduced_generator_points,subproblem_points_generated,mgs_points,Yn_points,hYn_points,subproblem_points_vector,subproblem_points_generated_vector,mgs_points_vector,generator_points_vector,time_IP-calls,count_IP-calls,time_nodes explored,count_nodes explored,time_subproblem_points_vector,count_subproblem_points_vector,time_subproblem_points_generated_vector,count_subproblem_points_generated_vector,time_mgs_points_vector,count_mgs_points_vector,time_ASMO.solve,count_ASMO.solve,time_ASMO._set_global_upper_bound,count_ASMO._set_global_upper_bound,time_ASMO._update_global_upper_bound,count_ASMO._update_global_upper_bound,time_ASMO._set_incumbent,count_ASMO._set_incumbent,time_CVRP._update_bounds_from_node,count_CVRP._update_bounds_from_node,time_ASMO._reduce_upper_bounds,count_ASMO._reduce_upper_bounds,timeout
428,196,./instances/msp/2obj/Lyngesen24-msp-2-100|100-mm-2_5.json,sequential,largest,first,all,False,bbm,slow,1.567346749943681,200,111,200,111,734,734,100|100,100|100,51|60,51|60,,,,,,,,,,,0,2,0.072,6,0,2,0.069,6,1.158,388,0.21,390,False
428,196,./instances/msp/2obj/Lyngesen24-msp-2-100|100-mm-2_5.json,sequential,largest,none,all,False,bbm,slow,1.5523189170053229,200,111,200,111,734,734,100|100,100|100,51|60,51|60,,,,,,,,,,,0,2,0.027,4,0,2,0.025,4,1.199,388,0.0,390,False
426,195,./instances/msp/2obj/Lyngesen24-msp-2-100|100-mm-2_5.json,sequential,largest,100,all,False,bbm,slow,15.390438709058799,200,111,200,111,734,734,100|100,100|100,51|60,51|60,,,,,,,,,,,0,2,0.124,8,0,2,0.115,8,3.267,386,24.359,388,False
422,193,./instances/msp/2obj/Lyngesen24-msp-2-100|100-mm-2_5.json,sequential,largest,50,all,False,bbm,slow,57.571999666979536,200,111,200,111,734,734,100|100,100|100,51|60,51|60,,,,,,,,,,,0,2,0.678,12,0,2,0.65,12,3.435,382,108.709,384,False
376,126,./instances/msp/2obj/Lyngesen24-msp-2-100|100-mm-2_5.json,sequential,largest,first,all,False,phase1,slow,1.1767747080884874,200,111,200,111,734,734,100|100,100|100,51|60,51|60,,,,,,,,,,,0,2,0.107,6,0,2,0.104,6,0.684,248,0.239,250,False
376,126,./instances/msp/2obj/Lyngesen24-msp-2-100|100-mm-2_5.json,sequential,largest,none,all,False,phase1,slow,1.0094643749762326,200,111,200,111,734,734,100|100,100|100,51|60,51|60,,,,,,,,,,,0,2,0.055,4,0,2,0.053,4,0.736,248,0.0,250,False
371,121,./instances/msp/2obj/Lyngesen24-msp-2-100|100-mm-2_5.json,sequential,largest,100,all,False,phase1,slow,36.46880708402023,200,111,199,111,734,734,100|100,100|99,51|60,51|60,,,,,,,,,,,0,2,0.226,8,0,2,0.21,8,1.127,238,70.253,240,False
375,125,./instances/msp/2obj/Lyngesen24-msp-2-100|100-mm-2_5.json,sequential,largest,50,all,False,phase1,slow,10.328996709082276,200,111,200,111,734,734,100|100,100|100,51|60,51|60,,,,,,,,,,,0,2,0.207,8,0,2,0.198,8,1.759,246,16.962,248,False
585,291,./instances/msp/2obj/Lyngesen24-msp-2-100|100|100-uuu-3_4.json,sequential,largest,first,all,False,bbm,slow,3.402777749928646,300,263,300,263,852,852,100|100|100,100|100|100,100|63|100,100|63|100,,,,,,,,,,,0,2,0.198,6,0,2,0.198,6,1.577,576,0.099,578,False
585,291,./instances/msp/2obj/Lyngesen24-msp-2-100|100|100-uuu-3_4.json,sequential,largest,none,all,False,bbm,slow,3.455158624914475,300,263,300,263,852,852,100|100|100,100|100|100,100|63|100,100|63|100,,,,,,,,,,,0,2,0.106,4,0,2,0.106,4,1.775,576,0.0,578,False
